DNI,APE,TEMP_AMB,VEL_VIENTO,SMR,POTENCIA
662.86765,1.882857032,35.587,6.3403,0.976915286,981.7524,2
630.63726,1.846915847,12.863,2.2561,0.977546299,858.8191,2
698.40686,1.845336519,13.861,1.5762,0.977698457,879.07428,2
681.61765,1.831194569,39.039,10.454,0.977801282,890.21462,2
632.72059,1.878079718,25.02,1.4147,0.979403302,923.55774,2
681.61765,1.838078027,33.544,11.792,0.980496226,846.74386,2
635.41667,1.879083119,24.943,1.522,0.981091944,932.43885,2
645.46569,1.827742175,31.588,5.3165,0.981286789,802.10459,2
612.5,1.875610279,24.012,2.7768,0.981304736,911.71622,2
621.32353,1.819050089,28.46,8.4897,0.982965803,848.45784,2
621.93628,1.825496841,29.276,4.2309,0.983602373,750.84344,2
630.02451,1.836863339,35.626,12.956,0.984588756,892.70758,2
678.92157,1.86633927,35.451,7.3663,0.985075465,977.8572,2
670.22059,1.850179087,12.989,3.6172,0.985469473,933.60736,2
693.01471,1.846629318,39.083,2.9306,0.985542311,894.57727,2
670.95588,1.855028698,29.441,3.7387,0.985815801,876.97087,2
669.60784,1.849380957,12.453,1.3769,0.986388877,820.33426,2
663.60294,1.816404686,23.382,4.2906,0.987385881,885.54034,2
656.12745,1.850921943,13.137,4.7882,0.988005,885.85197,2
664.21569,1.850759584,36.091,6.5522,0.989158049,904.62689,3
671.56863,1.845143221,29.134,3.0062,0.989643181,968.82028,2
666.17647,1.819379159,29.841,5.3499,0.991078722,815.34835,2
685.04902,1.834357165,33.369,13.959,0.991086695,889.27972,2
663.60294,1.83840493,36.289,10.847,0.991701617,874.08837,2
664.82843,1.859132049,29.583,15.805,0.991923028,882.42412,2
663.60294,1.854182262,15.351,0.0498,0.993188965,838.56393,2
667.52451,1.838410583,35.807,10.579,0.993566786,943.50128,2
695.71079,1.84545279,32.18,13.663,0.993848646,834.66873,2
646.81373,1.881872418,24.927,1.0993,0.99432448,942.80011,2
633.33333,1.838218363,27.244,2.2014,0.994978873,866.99904,2
601.10294,1.84946248,13.472,0.0356,0.995352802,952.53821,2
637.37745,1.854442154,31.26,3.95,0.995924796,1010.577,2
642.03432,1.852318548,14.189,4.0458,0.996035571,883.12529,2
663.60294,1.853837764,14.31,2.6295,0.996432554,900.10843,2
697.05883,1.868985064,35.494,5.0127,0.997158939,1010.4991,2
604.53432,1.833264472,28.767,10.672,0.997915763,799.61163,2
665.56373,1.886477858,24.647,2.5819,0.998525374,958.381,2
675.61275,1.853388492,35.609,5.0877,0.998807844,946.6175,3
688.35784,1.82462215,22.352,0.0416,0.999102629,924.181,2
699.14216,1.850171394,9.845,3.6002,1.000637865,887.33212,2
608.57843,1.820959318,16.452,0.0515,1.000705868,1020.7825,2
608.57843,1.853899936,32.032,5.7583,1.001442822,834.59082,2
683.70098,1.848309563,28.811,9.7932,1.001727026,989.07535,3
681.61765,1.823368453,17.148,2.8682,1.003086114,977.07812,2
620.58824,1.825478587,19.925,1.7432,1.003121894,1019.3802,2
